review_id,review_datePublished,review_jobTitle,review_worksFor,review_workLocation,review_ratingValue,rating_promotions,rating_skilldev,rating_culture,rating_worksatis,rating_salarybenifits,rating_jobsecurity,rating_worklifebal,likes,dislikes
review-57031248,2024-05-02,Assistant Manager,Jio,Navi Mumbai,3,2.0,3.0,3.0,3.0,3.0,4.0,4.0,"The company has good Job security, good work place for those who want to get retired in a single company without improvement in their skill set. The company is big but still the appraisal is low. ",No improvement in skills.
review-57019142,2024-05-02,Network Engineer,Jio,Noida,5,3.0,3.0,3.0,3.0,3.0,4.0,4.0,All people in Jio are highly experienced in their profession so a lot of information and experience sharing to get improved. You always get helped by team mates. ,Less appraisal of the the professionals who are working on junior or mid senior level.
review-56998082,2024-05-01,Sales Associate,Jio,Nashik,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,"They have very pathetic culture, HR and SH are not available when we need them.
They don't value their loyal employees.
Overall disgusting culture. ","Poor support from management.HR and SH not involved themselves into any matter. Only work pressure, not understanding about their senior employee. Salary increment is just for discussion."
review-56992918,2024-05-01,Product Manager,Jio,Bangalore / Bengaluru,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing ,"Toxic Culture
Quantity over quality
Unorganised
no managerial/behavioral skills 
Useless HR
anything less that 9 hours is considered as leave"
review-56949830,2024-04-28,KYC Executive,Jio,Navi Mumbai,2,1.0,4.0,1.0,1.0,1.0,1.0,2.0,Campus is good food is cheaper ,"If you feel it is a best company forget it, political firm is the best word I would suggest. Top management make their candidates sneak in and promote them. Even if you do certifications they won't prefer you or teach you. I was a continuous performer but got laid off without any PIP program. Think before you join don't fall for comp"
review-56946598,2024-04-28,Software Development Engineer,Jio,Navi Mumbai,4,2.0,4.0,3.0,3.0,2.0,4.0,3.0,We get to work and newer technologies and are given responsibility to own a particular part of a project ,Salary appraisal is not upto market standards
review-56703278,2024-04-26,Business Manager,Jio,Bhiwadi,4,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Learning on daily basic something. really Very good culture.. ,I am very disappointed about the late night VC. Every Evening Approx 8:45 PM VC Has Started & Boss is Saying that open your Camera.this is not good because this time every people spend time with family. Our Day started at 7:50Am with Morning gate Meeting at JC & closed 9:40 Every Day
review-56897556,2024-04-26,Senior Executive,Jio,Kolkata,3,2.0,3.0,2.0,3.0,4.0,1.0,4.0,I like about company benefits. ,0% job sequrity. Company can terminate with in 1 day. office culture very bad. No one has any clarification about job renewal. Company Don't think about employe value.
review-56823540,2024-04-22,Assistant Manager,Jio,Patna,1,2.0,2.0,1.0,2.0,3.0,1.0,1.0,"No need to write something, have to understand by rating.. ",Everyday work pressure like meeting four to five times in a day. After so many mentally pressure Job is not secure.
review-56811304,2024-04-21,Web Designer,Jio,Mumbai,4,3.0,3.0,4.0,3.0,5.0,5.0,4.0,Amazing infrastructure and very good people to work with ,"Sometimes the work feels like unorganised, and work not properly managed"
review-56777198,2024-04-19,Deputy Manager,Jio,Navi Mumbai,4,2.0,3.0,3.0,3.0,2.0,4.0,4.0,Overall it is a good company but salary hikes should be improved it is very less compared to industry standards ,Mandatory 9 hrs completion of work . Salary hike is very less.
review-56729330,2024-04-16,Senior Program Manager,Jio,Hyderabad / Secunderabad,4,3.0,3.0,4.0,4.0,4.0,4.0,4.0,Good overall company culture work wise mostly Indian project ,Growth is big issue no onshore opportunities not yearly appraisal is good
review-56654734,2024-04-12,Software Developer,Jio,Bangalore / Bengaluru,4,3.0,4.0,4.0,4.0,3.0,4.0,4.0,"Good mentors, peers, and work culture! ","Yearly Hikes must be good, as it's like 7% which is less than the Annual inflation rate in our country."
review-56641276,2024-04-11,Jio - Centre Manager,Jio,Kolkata,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Colleagues ,"Terrible management
No work life balance....late night calls
At times forcefully work on holidays
Good leaders get easily sidelined
No reward & recognition culture
Promotions are rarest or rare
Illogical target setting resulting in unnecessary stress & duress"
review-56629556,2024-04-11,Customer Service Executive,Jio,Indore,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,This is a very good company and full support our employees. Thank you 😍 ,Nothing
review-56597292,2024-04-09,Chat and Email Support Executive,Jio,Thane,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,Remote ,"Everything culture, politics and partiality plus no hike."
review-56573278,2024-04-08,Sales Manager,Jio,Kolkata,1,1.0,2.0,1.0,1.0,3.0,1.0,1.0,Nothing as such ,"Full of politics and partialism.
No respect to employees.
Seniors are poor quality
Uses slangs to executives and managers."
review-56487206,2024-04-04,Digital Repair Specialist,Jio,Hindupur,1,1.0,3.0,1.0,2.0,1.0,1.0,1.0,"Skills development
All facilities available,pantry , rest rooms ,drs separate work station with AC 
Medical ESI hospitality
Newly joined people salaries is higher
Sim card with free recharge unlimited free ","From joining time only for taking mobile service like products service and swap basis only sap crm work but after few years later assign to another works ,Calling,Jio Associate, Jiopoint Issues travel (Cc camera ,wifi,all SLP products),ONT,FIBER,jp team handling, present now AirFibre , Salary was I'm old 2016_13500 still I'm getting"
review-56467442,2024-04-03,Manager Materials,Jio,Vijayawada,4,3.0,3.0,3.0,3.0,3.0,4.0,4.0,"Good infrastructure and facilities. Employee engagement activity is good, as long as integrity is maintained, you will be safe. Flexible time.. ",Appraisals are late and don't expect much... Growth is limited unless one opts to shift to Mumbai.
review-56414480,2024-03-31,Senior Executive Engineer,Jio,Kolkata,3,2.0,3.0,2.0,4.0,4.0,1.0,4.0,Job satisfaction and company benefit ,"My contract will expire on 31st March. And the confirmation mail about the contract end, I received on 21st March. Only 10 days before of my contract ending date. What about the company's ethics? It's a very crucial time, March as the financial year ends and an election is coming so it's very difficult to find a job within this short"
review-56400218,2024-03-30,Customer Service Associate,Jio,Mumbai,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Amazon working faster than and customers satisfication ,No dislike
review-52047868,2024-03-30,Software Developer,Jio,Navi Mumbai,4,2.0,4.0,4.0,5.0,3.0,5.0,5.0,"The company's work environment and culture can be conducive to creativity and collaboration, fostering a rewarding experience for software developers ",As such there is nothing to dislike.
review-56387568,2024-03-29,Fttx Manager,Jio,Bokaro,3,1.0,4.0,1.0,2.0,1.0,4.0,4.0,Job security ,"cost cutting day by day each field,
food allowance
fuel rate is increasing but Rs/km  decreasing in company fuel allowance"
