,review_id,review_datePublished,review_author,review_jobTitle,review_worksFor,review_workLocation,review_ratingValue,review_bestRating,review_worstRating,rating_overall,rating_promotions,rating_skilldev,rating_culture,rating_worksatis,rating_salarybenifits,rating_jobsecurity,rating_worklifebal,likes,dislikes,work_details
0,review-57031248,2024-05-02,Anonymous,Assistant Manager,Jio,Navi Mumbai,3,,,3,2.0,3.0,3.0,3.0,3.0,4.0,4.0,"The company has good Job security, good work place for those who want to get retired in a single company without improvement in their skill set. The company is big but still the appraisal is low. ",No improvement in skills.,"['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
1,review-57019142,2024-05-02,Anonymous,Network Engineer,Jio,Noida,5,,,5,3.0,3.0,3.0,3.0,3.0,4.0,4.0,All people in Jio are highly experienced in their profession so a lot of information and experience sharing to get improved. You always get helped by team mates. ,Less appraisal of the the professionals who are working on junior or mid senior level.,"['Work related travel:', '\xa0', 'This is a desk job.']"
2,review-56998082,2024-05-01,Anonymous,Sales Associate,Jio,Nashik,2,,,2,1.0,1.0,1.0,1.0,2.0,1.0,2.0,"They have very pathetic culture, HR and SH are not available when we need them.
They don't value their loyal employees.
Overall disgusting culture. ","Poor support from management.HR and SH not involved themselves into any matter. Only work pressure, not understanding about their senior employee. Salary increment is just for discussion.","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3,review-56992918,2024-05-01,Anonymous,Product Manager,Jio,Bangalore / Bengaluru,1,,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing ,"Toxic Culture
Quantity over quality
Unorganised
no managerial/behavioral skills 
Useless HR
anything less that 9 hours is considered as leave","['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Strict Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
4,review-56949830,2024-04-28,Anonymous,KYC Executive,Jio,Navi Mumbai,2,,,2,1.0,4.0,1.0,1.0,1.0,1.0,2.0,Campus is good food is cheaper ,"If you feel it is a best company forget it, political firm is the best word I would suggest. Top management make their candidates sneak in and promote them. Even if you do certifications they won't prefer you or teach you. I was a continuous performer but got laid off without any PIP program. Think before you join don't fall for comp","['Work days:', '\xa0Rotational Shift\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
5,review-56946598,2024-04-28,Anonymous,Software Development Engineer,Jio,Navi Mumbai,4,,,4,2.0,4.0,3.0,3.0,2.0,4.0,3.0,We get to work and newer technologies and are given responsibility to own a particular part of a project ,Salary appraisal is not upto market standards,"['Work related travel:', '\xa0', 'This is a desk job.']"
6,review-56703278,2024-04-26,Anonymous,Business Manager,Jio,Bhiwadi,4,,,4,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Learning on daily basic something. really Very good culture.. ,I am very disappointed about the late night VC. Every Evening Approx 8:45 PM VC Has Started & Boss is Saying that open your Camera.this is not good because this time every people spend time with family. Our Day started at 7:50Am with Morning gate Meeting at JC & closed 9:40 Every Day,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
7,review-56897556,2024-04-26,Anonymous,Senior Executive,Jio,Kolkata,3,,,3,2.0,3.0,2.0,3.0,4.0,1.0,4.0,I like about company benefits. ,0% job sequrity. Company can terminate with in 1 day. office culture very bad. No one has any clarification about job renewal. Company Don't think about employe value.,"['Work days:', '\xa0Monday to Saturday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
8,review-56823540,2024-04-22,Anonymous,Assistant Manager,Jio,Patna,1,,,1,2.0,2.0,1.0,2.0,3.0,1.0,1.0,"No need to write something, have to understand by rating.. ",Everyday work pressure like meeting four to five times in a day. After so many mentally pressure Job is not secure.,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
9,review-56811304,2024-04-21,Anonymous,Web Designer,Jio,Mumbai,4,,,4,3.0,3.0,4.0,3.0,5.0,5.0,4.0,Amazing infrastructure and very good people to work with ,"Sometimes the work feels like unorganised, and work not properly managed","['Work related travel:', '\xa0', 'This is a desk job.']"
